OBJECTID,APN,ZONE_CODE,COUNT,AREA_WBLDGS,MEAN_WBLDGS,COUNT,AREA_NOBLDGS,MEAN_NOBLDGS,APN,SchoolName,OBJECTID_1,X,Y,OBJECTID,SchoolName,CountyName,DistrictName,SchoolClass,mean_pctpoc,mean_priority_i,mean_pctpov,mean_child_perc,mean_seniorperc,mean_tes,mean_health_nor,sum_Area_SQUAREKILOMETERS,Polygon_Count,Shape_Length,Shape_Area
46,11137074A,47,52030,2081.2,0.04264847204,23030,921.2,0.08506296135,11137074A,Genesis Academy,32,-112.0661892,33.46539479,1320,Genesis Academy,Maricopa,"Genesis Program, Inc.",Charter,0.272,0.197,0.158,0.067,0.049,51.784,0.136,2.031,9.000,0.050,0.000
14,12826058,15,2002996,80119.84,0.1056766963,1577648,63105.92,0.1340691967,12826058,Great Hearts Academies - Veritas Prep,53,-111.9629229,33.48429038,1610,Great Hearts Academies - Veritas Prep,Maricopa,Veritas Preparatory Academy,Charter,0.079,0.151,0.058,0.143,0.102,54.629,0.132,2.031,10.000,0.050,0.000
28,20714004,29,5671958,226878.32,0.02047458744,4788362,191534.48,0.02392655359,20714004,Greenway High School,9,-112.1437891,33.62589477,1103,Greenway High School,Maricopa,Glendale Union High School District,District,0.261,0.229,0.183,0.162,0.082,61.193,0.230,2.031,6.000,0.050,0.000
48,30013004M,49,898159,35926.36,0.0132637985,861689,34467.56,0.01382517358,30013004M,Heritage Academy Laveen,40,-112.14978,33.37719646,1432,Heritage Academy Laveen,Maricopa,"Heritage Academy Laveen, Inc.",Charter,0.401,0.213,0.160,0.142,0.057,43.723,0.136,2.031,6.000,0.050,0.000
16,14937009D,17,691728,27669.12,0.1415484121,481516,19260.64,0.1955573647,14937009D,Heritage Academy Pointe,8,-112.1504891,33.57889478,1086,Heritage Academy Pointe,Maricopa,Pointe Educational Services,Charter,0.303,0.237,0.246,0.142,0.062,45.861,0.200,2.031,10.000,0.050,0.000
17,16214142,18,235400,9416,0.1251656754,163083,6523.32,0.1672093351,16214142,"Learning Institute, The",36,-112.0569892,33.51529478,1351,"Learning Institute, The",Maricopa,Phoenix School of Academic Excellence The,Charter,0.244,0.253,0.233,0.099,0.160,71.855,0.213,2.031,10.000,0.050,0.000
23,15503002A,24,2573650,102946,0.02879878771,1993147,79725.88,0.03706098948,15503002A,Madison Highland Prep,38,-112.0497479,33.50099297,1390,Madison Highland Prep,Maricopa,Madison Highland Prep,Charter,0.385,0.275,0.299,0.123,0.074,61.131,0.240,2.031,10.000,0.050,0.000
42,10305002B,43,6567826,262713.04,0.02458408612,5191902,207676.08,0.0308482325,10305002B,Maryvale High School,6,-112.1849072,33.48904748,1027,Maryvale High School,Maricopa,Phoenix Union High School District,District,0.576,0.363,0.404,0.215,0.047,49.374,0.325,2.031,8.000,0.050,0.000
44,11034001B,45,5225863,209034.52,0.08058439343,4087999,163519.96,0.1017084398,11034001B,Metro Tech High School,21,-112.1022892,33.48119479,1217,Metro Tech High School,Maricopa,Phoenix Union High School District,District,0.231,0.176,0.153,0.082,0.048,35.491,0.140,2.031,7.000,0.050,0.000
10,11109129C,11,194659,7786.36,0.05929343108,93258,3730.32,0.1233352635,11109129C,Metropolitan Arts Institute,25,-112.0829892,33.46699479,1263,Metropolitan Arts Institute,Maricopa,"Metropolitan Arts Institute, Inc.",Charter,0.202,0.193,0.092,0.069,0.132,63.436,0.149,2.031,9.000,0.050,0.000
