ID,SC2,SC5,DE14,HH1,HH2,EL6,CI6,CI7,DE3,DE4,CI12_1,CI12_2
ts186,0,4,85282,1,0,NA,NA,0,2,0,2,1
ts187,1,5,85284,1,0,NA,0,0,2,0,NA,1
ts188,0,3,85284,1,0,1,-1,-1,2,0,2,2
ts189,0,3,85284,2,0,0,0,0,NA,1,0,2
ts19,0,4,85282,2,0,0,0,0,2,1,2,2
ts190,0,4,88888,1,0,0,0,1,2,1,1,1
ts191,0,5,85284,1,1,1,0,1,1,1,1,1
ts192,0,5,85283,2,0,0,1,1,2,0,-1,1
ts193,0,4,85284,2,0,1,-1,-1,2,0,1,1
ts194,0,5,85284,0,0,NA,-1,NA,2,1,-2,-2
ts195,0,4,85282,3,1,1,2,1,2,0,2,2
ts196,0,4,85284,0,0,0,0,0,2,1,1,1
ts197,0,4,85284,2,0,0,0,0,2,1,2,2
ts198,0,3,85283,0,0,0,0,0,NA,NA,0,0
ts199,0,4,85283,0,0,1,0,0,2,1,2,2
ts20,0,5,85283,3,1,1,0,0,1,0,0,1
ts200,0,3,NA,2,1,0,NA,2,NA,1,1,1
ts201,0,4,85282,1,0,NA,0,NA,2,1,1,1
ts202,0,4,85284,2,0,NA,0,0,1,1,1,1
ts203,0,4,85281,4,1,NA,NA,0,2,NA,-2,-2
ts21,0,4,85282,1,0,-1,0,0,2,1,0,0
ts22,1,4,85282,2,0,0,1,0,1,0,NA,NA
ts23,0,4,85283,2,0,-1,0,0,2,1,2,2
ts24,0,4,85281,1,0,0,-1,-1,2,1,1,2
ts25,0,5,85284,1,0,1,0,0,2,1,1,1
ts26,1,5,85283,2,1,-1,0,1,2,0,1,2
ts27,1,4,85283,4,1,2,0,0,2,0,-1,-1
ts28,0,5,85284,3,0,1,0,0,2,0,1,2
ts29,0,3,85284,2,1,0,1,1,3,0,-2,-1
ts30,1,3,85281,4,1,2,1,1,2,1,-2,-2
ts31,0,4,85283,2,0,-1,0,1,3,0,-2,-2
ts32,0,3,85282,2,0,1,1,1,2,0,NA,NA
ts33,0,4,85284,2,0,1,-1,0,2,1,-1,0
ts34,0,3,85282,4,1,1,1,1,2,1,1,1
ts35,1,3,85283,1,NA,0,2,NA,3,0,-1,-1
ts36,1,3,85283,2,0,0,0,1,2,1,2,1
ts37,0,4,85283,0,0,1,-1,0,2,1,1,1
ts38,0,4,85284,1,0,0,0,0,1,1,NA,NA
ts39,1,4,85281,1,0,1,1,1,3,1,2,1
ts40,1,3,85283,4,1,1,0,1,2,0,1,2
ts41,0,5,85281,1,0,-1,1,1,2,0,-1,-1
ts42,0,3,85281,2,0,-1,0,0,2,0,-1,-1
ts43,0,3,85281,1,1,-1,0,0,2,1,1,1
ts44,1,3,85281,3,1,1,0,0,3,1,-1,-1
