Year,Month,MeanTMax,MeanTMin
1941,1,65.6,44.1
1941,2,68.7,48.4
1941,3,71.8,47.8
1941,4,75.6,50.3
1941,5,90.9,62
1941,6,98.5,67.2
1941,7,103.7,76.2
1941,8,100.3,74
1941,9,95.5,65.8
1941,10,81.5,54.9
1941,11,77.4,46.8
1941,12,65.6,42.6
1942,1,67.7,41
1942,2,66.4,39.2
1942,3,74.2,44
1942,4,80,52.6
1942,5,91.5,58.8
1942,6,101.8,68.1
1942,7,106.5,78.9
1942,8,101.4,76.3
1942,9,100.1,69.9
1942,10,86.2,58.4
1942,11,78.9,48
1942,12,69.8,42
1943,1,65.7,41.3
1943,2,73.9,45
1943,3,77.7,50.1
1943,4,87.5,56.1
1943,5,94.3,63.6
1943,6,98.8,69.9
1943,7,105.4,78.5
1943,8,99.3,77.4
1943,9,100.2,70.9
1943,10,87.1,58.6
1943,11,78.1,45.5
1943,12,65.1,42.4
1944,1,65.2,38.3
1944,2,63.8,41.7
1944,3,71.5,44.4
1944,4,78.2,51.4
1944,5,90.2,61
1944,6,97.2,65.3
1944,7,104.4,75.4
1944,8,104.8,77.2
1944,9,97.1,70.9
1944,10,89.9,59.9
1944,11,70.3,45.8
1944,12,67.5,40.5
1945,1,64.1,39.7
1945,2,69.2,43.3
1945,3,69.3,44.7
1945,4,82,50.8
1945,5,91.5,60.9
1945,6,98.6,66.5
1945,7,103.9,77.9
1945,8,102,77.8
1945,9,99.1,71
1945,10,88.5,61.4
1945,11,75.4,43.2
1945,12,64.7,37.8
1946,1,63.2,39.5
1946,2,69.5,38.7
1946,3,77.1,46.9
1946,4,88.7,58.4
1946,5,91.9,61.9
1946,6,104.1,71.4
1946,7,103,77.8
1946,8,101.9,77.7
1946,9,97.5,71.8
1946,10,81,54.3
1946,11,69.1,42.8
1946,12,69.1,42.4
1947,1,64,37
1947,2,75.2,45
1947,3,77.7,49.5
1947,4,83.8,54.6
1947,5,94.4,65
1947,6,99.2,70
1947,7,106.6,79.5
1947,8,100.8,76.1
1947,9,101.4,73.4
1947,10,88.2,59.6
1947,11,69.1,44.1
1947,12,63.4,38.7
1948,1,68.9,38.2
1948,2,66.3,41.4
1948,3,69.1,44.7
1948,4,85,54.6
1948,5,92.9,61.2
1948,6,100.4,69.6
1948,7,104.6,77.6
1948,8,104.4,78.4
1948,9,100.3,72
1948,10,87.7,61.5
1948,11,72.3,41.6
1948,12,63.9,40.2
1949,1,53.5,35.8
1949,2,66.1,39.5
1949,3,74.2,46.7
1949,4,86.3,57.1
1949,5,91.4,62.1
1949,6,100.6,72.1
1949,7,103,79
1949,8,103.7,73.6
1949,9,99.6,74.4
1949,10,83.9,56.1
1949,11,82.3,50
1949,12,66.1,39.7
1950,1,64.1,38.4
1950,2,74.1,46
1950,3,77.8,48.7
1950,4,88.1,57.6
1950,5,91.2,60.5
1950,6,100.8,69.1
1950,7,100.5,78.3
1950,8,104.9,74.8
1950,9,95.8,67.9
1950,10,95.1,62
1950,11,80.9,49.6
1950,12,74.5,43.3
1951,1,66.2,39.5
1951,2,69.1,44.6
1951,3,74.6,48.2
1951,4,81.7,54.6
1951,5,92.3,62.6
1951,6,99.8,68.1
1951,7,106,79.3
1951,8,99.4,76.3
1951,9,100.1,69.5
1951,10,88.1,58.5
1951,11,72.9,47.3
1951,12,63.9,41.3
1952,1,64.2,39.7
1952,2,68.4,41.8
1952,3,67.6,44.1
1952,4,80.5,55.2
1952,5,96,65.4
1952,6,101.2,70
1952,7,103.5,76.5
1952,8,103.1,79
1952,9,100.7,73.1
1952,10,95.8,61.3
1952,11,69.8,46
1952,12,64.4,40.9
1953,1,70.9,42.2
1953,2,69.3,41.1
1953,3,77.1,49.3
1953,4,81.3,54.4
1953,5,86,57.6
1953,6,101.8,70.9
1953,7,102.9,80
1953,8,103.8,77.1
1953,9,102.8,69.1
1953,10,87,56.2
1953,11,76.6,46.3
1953,12,64.4,34.2
1954,1,66.1,38.4
1954,2,76.3,45.8
1954,3,71,45.6
1954,4,87.1,56
1954,5,93.3,63
1954,6,99.7,69.6
1954,7,102.7,79.9
1954,8,99.9,76.9
1954,9,99.1,73.3
1954,10,90,59.8
1954,11,80,49.1
1954,12,67.8,40.1
1955,1,59,38.4
1955,2,64.9,36.8
1955,3,76.2,47
1955,4,81.8,51.5
1955,5,89.4,61.8
1955,6,99.4,68
1955,7,99.1,74.2
1955,8,97,76.1
1955,9,97.7,68.1
1955,10,90.9,60.4
1955,11,73.3,44.9
1955,12,70.1,41.5
1956,1,69.1,42.9
1956,2,63.5,38.2
1956,3,78.2,45
1956,4,80,52.2
1956,5,92,61.7
1956,6,101.4,72.3
1956,7,99.9,75.9
1956,8,99.3,72.2
1956,9,99.8,69.3
1956,10,84.6,54.8
1956,11,74,41.6
1956,12,68.3,38.2
1957,1,63,44.9
1957,2,73.2,49.6
1957,3,74.2,49.4
1957,4,80.1,52.8
1957,5,86,59.7
1957,6,101.7,72.4
1957,7,103.1,79.6
1957,8,99.2,76.8
1957,9,97.9,68.4
1957,10,81.1,60
1957,11,68.6,44.1
1957,12,68.8,41.1
1958,1,67.3,38.7
1958,2,69.7,46.2
1958,3,67.3,46.7
1958,4,80.6,52.7
1958,5,96.4,66.2
1958,6,103.6,74.6
1958,7,106.9,80.2
1958,8,104.1,81.3
1958,9,98.7,74.4
1958,10,88.1,65.1
1958,11,73.6,49.2
1958,12,69.9,42.1
1959,1,67,40.5
1959,2,65.9,41.9
1959,3,77.9,49.2
1959,4,87.6,59.3
1959,5,90.3,62.2
1959,6,104.7,75.9
1959,7,106,81.9
1959,8,98.5,77.7
1959,9,95.8,70.8
1959,10,86,59.3
1959,11,72.6,49.2
1959,12,63.2,44
1960,1,58.8,38.1
1960,2,63.4,39.5
1960,3,78.9,51.2
1960,4,84.8,55.9
1960,5,92.6,62.9
1960,6,105.1,74.9
1960,7,105.3,79.4
1960,8,101.5,77.9
1960,9,99.2,72.5
1960,10,81.9,59.2
1960,11,73.4,47.5
1960,12,64.3,36.6
1961,1,68.7,39.7
1961,2,71.2,39.9
1961,3,74.5,44.6
1961,4,86.3,52
1961,5,93,58.1
1961,6,105.3,71.8
1961,7,105.4,77.9
1961,8,101.8,75.3
1961,9,94.5,66.6
1961,10,85.7,53.5
1961,11,70.8,43.3
1961,12,64,40.5
1962,1,63.3,39.6
1962,2,67.5,43.9
1962,3,70.9,41.1
1962,4,90.6,54
1962,5,90.6,56.3
1962,6,101.7,64.5
1962,7,105.1,75.3
1962,8,107.3,76.1
1962,9,97.5,71.1
1962,10,88.3,54.8
1962,11,77.4,46.4
1962,12,68.6,41.4
1963,1,62.1,34.6
1963,2,75,45.3
1963,3,76.4,45.5
1963,4,81.9,49.7
1963,5,97.5,62.5
1963,6,99.2,64.1
1963,7,106.3,77.7
1963,8,98.7,75.4
1963,9,99.1,71
1963,10,90.3,62.1
1963,11,73.3,50.4
1963,12,66.8,36.8
1964,1,61,32.4
1964,2,65.1,33.4
1964,3,71.1,41.9
1964,4,80.8,49.5
1964,5,90.9,56.4
1964,6,99.5,65.6
1964,7,104.1,77
1964,8,98.6,73.7
1964,9,94.2,68.1
1964,10,90.2,59.6
1964,11,69.3,41.7
1964,12,64.1,39.8
1965,1,64,41.3
1965,2,65.3,39.4
1965,3,69.3,42.8
1965,4,77.1,49.7
1965,5,89.2,54.4
1965,6,97.3,60.6
1965,7,105.3,76.7
1965,8,104.1,73.8
1965,9,94.7,63.6
1965,10,92,55.6
1965,11,76.3,47.9
1965,12,64.5,41.2
1966,1,61.9,34.5
1966,2,63.5,35.9
1966,3,77.9,44.4
1966,4,87.8,51.7
1966,5,97.1,63
1966,6,103.4,70.1
1966,7,106.5,79.5
1966,8,103.5,78.3
1966,9,95.1,70.6
1966,10,87.7,54
1966,11,76.2,44.8
1966,12,67,37
1967,1,67.2,34.1
1967,2,72.9,38.5
1967,3,78.5,47
1967,4,77.2,47.5
1967,5,91.5,58.7
1967,6,96,66.2
1967,7,103.6,79.5
1967,8,103.2,78.8
1967,9,98,71.6
1967,10,89.3,57.6
1967,11,78.4,49.3
1967,12,59.5,36.9
1968,1,65.6,39.1
1968,2,72.2,47.1
1968,3,73.8,45.9
1968,4,82.6,50.7
1968,5,93.7,59.5
1968,6,104.1,68.2
1968,7,103.3,77.1
1968,8,99.2,73.7
1968,9,99.4,67.8
1968,10,89.1,56.3
1968,11,73,45.3
1968,12,63.4,35.6
1969,1,66.1,43.6
1969,2,66.2,39.8
1969,3,72.5,41.2
1969,4,84.7,52.3
1969,5,94.6,61.9
1969,6,99.4,69
1969,7,104.9,81.3
1969,8,106.1,82.7
1969,9,99,73
1969,10,83.6,55.3
1969,11,74,50.2
1969,12,67.5,42.1
1970,1,66.5,37.6
1970,2,74.7,45.6
1970,3,72.6,46.3
1970,4,80.6,48.8
1970,5,95.9,63.3
1970,6,103,73.1
1970,7,106.7,83.3
1970,8,104.1,80.9
1970,9,95.1,69.3
1970,10,83.6,54.5
1970,11,76.4,46.4
1970,12,66.2,39
1971,1,68.1,36.2
1971,2,71,41.5
1971,3,80,46.5
1971,4,81.4,51.6
1971,5,87.6,58.9
1971,6,101,69.5
1971,7,107.3,82.5
1971,8,100.5,78.7
1971,9,99,72.1
1971,10,81.7,56.9
1971,11,73.6,45.7
1971,12,61.1,39.3
1972,1,67.2,35.5
1972,2,75.1,43.1
1972,3,86.7,54.4
1972,4,86.8,56
1972,5,93.3,63.2
1972,6,101.2,74.3
1972,7,106.8,81.9
1972,8,102.2,77.5
1972,9,98.5,71
1972,10,81.1,62.7
1972,11,70.3,45.9
1972,12,64.2,40
1973,1,63.5,38.8
1973,2,68.5,46.5
1973,3,67.4,45.8
1973,4,81.7,52.7
1973,5,96.5,65.2
1973,6,104,72.1
1973,7,106.5,80.5
1973,8,106.1,80.6
1973,9,100.6,68.8
1973,10,91.5,57.3
1973,11,74.8,46.7
1973,12,70.1,40.7
1974,1,66.3,41.7
1974,2,72.4,41
1974,3,77.8,51.2
1974,4,86.6,54.6
1974,5,96,64.3
1974,6,108.6,75.7
1974,7,104.6,80.2
1974,8,104.9,77.5
1974,9,99.4,74.9
1974,10,87.2,64.5
1974,11,74.9,48
1974,12,63.5,37.7
1975,1,66.4,38.1
1975,2,68,40
1975,3,72,45.9
1975,4,76.6,48.5
1975,5,92.4,60.9
1975,6,102.8,70.3
1975,7,106.1,82.4
1975,8,106,77.7
1975,9,99.2,73.1
1975,10,87.3,58.5
1975,11,75.4,46.3
1975,12,66.8,42.8
1976,1,69.1,41.7
1976,2,72.5,48.9
1976,3,74.7,48.3
1976,4,82.3,55
1976,5,94.5,66.9
1976,6,101.9,73.9
1976,7,102.1,81.1
1976,8,103.1,78.3
1976,9,93.8,72.1
1976,10,85.4,62.5
1976,11,77,51.1
1976,12,68.4,42.7
1977,1,64.8,42.8
1977,2,76.7,46.6
1977,3,74.4,47.2
1977,4,88.2,58.8
1977,5,89,62.4
1977,6,105.4,77.3
1977,7,106.1,83.8
1977,8,105.1,83.1
1977,9,99,76.1
1977,10,91,66.4
1977,11,79.4,52.2
1977,12,71.5,48.2
1978,1,66.6,46.5
1978,2,68.6,48.7
1978,3,77,54.1
1978,4,83.4,55
1978,5,93.6,63.3
1978,6,107.5,74.3
1978,7,108.3,80.9
1978,8,105.1,77.7
1978,9,98.6,73.9
1978,10,92,65.2
1978,11,72.5,50.5
1978,12,62.8,40.6
1979,1,59.2,40.9
1979,2,69,42.4
1979,3,73.1,47.7
1979,4,86.3,53.8
1979,5,92,64.1
1979,6,104.6,74.3
1979,7,108.1,79.5
1979,8,102.5,76.3
1979,9,103.8,76.6
1979,10,91.3,63.1
1979,11,71.8,44.5
1979,12,69.9,41.8
1980,1,65.8,47.3
1980,2,71.4,49.7
1980,3,71.6,49.7
1980,4,83.3,56.3
1980,5,88.6,63.3
1980,6,104.1,73.7
1980,7,107.6,83.6
1980,8,102.9,81.5
1980,9,100.2,74.4
1980,10,88.7,62.4
1980,11,78.2,50
1980,12,74.9,47.6
1981,1,70.4,47.9
1981,2,74.6,48.1
1981,3,75.1,52.4
1981,4,88.8,63.1
1981,5,92.3,68.6
1981,6,106,80.8
1981,7,105.6,84.8
1981,8,106.8,84.7
1981,9,100.8,77.5
1981,10,85.7,61.5
1981,11,79.7,52.5
1981,12,70.7,46.5
1982,1,64.6,43.2
1982,2,70.7,49.5
1982,3,72.9,51.8
1982,4,85.4,59.5
1982,5,93.6,67.1
1982,6,102.3,73.8
1982,7,105.3,82
1982,8,104.1,83.3
1982,9,98.1,75.3
1982,10,87.7,59.3
1982,11,71.7,52
1982,12,63.7,44.5
1983,1,67.3,44.7
1983,2,67.9,48.8
1983,3,72.2,52.2
1983,4,78.3,54.9
1983,5,95,66.1
1983,6,102.5,74.7
1983,7,107.2,83.8
1983,8,103.8,81.3
1983,9,101.3,80.6
1983,10,87.4,67
1983,11,73.1,51.7
1983,12,67.6,46.7
1984,1,69.8,45
1984,2,73.9,46.2
1984,3,81.6,53.6
1984,4,83.2,58.1
1984,5,101.2,72.8
1984,6,102.6,75.2
1984,7,103.1,80.3
1984,8,101.9,80.5
1984,9,99.2,75.7
1984,10,83.3,59.4
1984,11,73.7,50.1
1984,12,62.7,44.6
1985,1,64.2,44.3
1985,2,69.3,45.5
1985,3,73.8,51.7
1985,4,88.2,62
1985,5,96.4,72
1985,6,106.2,78.5
1985,7,106.7,83.1
1985,8,105.8,83.1
1985,9,93.9,70.7
1985,10,86.2,64
1985,11,72.1,50.5
1985,12,67.6,44.2
1986,1,74.2,48.6
1986,2,72.1,49.9
1986,3,81.4,57.2
1986,4,86.8,61.5
1986,5,95.5,69
1986,6,105.7,79.9
1986,7,103.8,80.7
1986,8,105.5,83.4
1986,9,95.7,72.5
1986,10,86.7,62.6
1986,11,76.4,53.6
1986,12,67.1,45.7
1987,1,66.3,43
1987,2,70.3,49.1
1987,3,75.5,51.2
1987,4,91.4,64.4
1987,5,94.5,70.6
1987,6,106.4,79.5
1987,7,106.4,79.8
1987,8,103.9,80.5
1987,9,98.9,74.8
1987,10,92.5,69.2
1987,11,74.4,51.8
1987,12,62.5,42.8
1988,1,65.7,44.4
1988,2,75,50
1988,3,79.8,52.7
1988,4,85.9,60
1988,5,94.6,68.2
1988,6,106.3,79.9
1988,7,107.5,84.8
1988,8,104.7,83
1988,9,99.8,75
1988,10,94.5,70.3
1988,11,75.8,53
1988,12,66.7,44.6
1989,1,65.9,42.9
1989,2,74.1,49.6
1989,3,83.5,56.6
1989,4,94.2,65.9
1989,5,96.7,69.4
1989,6,105.9,78.3
1989,7,109.8,85
1989,8,105.3,82
1989,9,102.8,76.9
1989,10,89.7,64.9
1989,11,79.7,53.1
1989,12,69.5,44.4
1990,1,67.3,43.9
1990,2,68.1,45.1
1990,3,78.9,55.4
1990,4,88.4,63.9
1990,5,93.7,68.5
1990,6,107.8,79.8
1990,7,104.6,82.6
1990,8,102,79.5
1990,9,99,76.1
1990,10,91.8,65.6
1990,11,78.1,53.7
1990,12,64.6,42.5
1991,1,66.4,45.4
1991,2,78.7,53.2
1991,3,71,49.5
1991,4,85.5,58.8
1991,5,92.9,66.5
1991,6,100.6,75
1991,7,106.4,83.7
1991,8,105.3,83.6
1991,9,99.7,77.3
1991,10,92.2,68.2
1991,11,74.5,52.5
1991,12,66.3,48.2
1992,1,66.3,46.4
1992,2,72.1,52.1
1992,3,75.3,54.1
1992,4,90.4,63.6
1992,5,94.9,71.3
1992,6,103.1,77.1
1992,7,104.6,81
1992,8,103.5,81
1992,9,102.9,78
1992,10,92.5,67.1
1992,11,73.5,49.4
1992,12,62.9,44.6
1993,1,66.6,49.8
1993,2,66.8,49.6
1993,3,77.6,53.7
1993,4,86.8,60.7
1993,5,96.3,71.1
1993,6,103,76.2
1993,7,104.6,81.1
1993,8,102.9,80.2
1993,9,100.3,75.5
1993,10,87.8,65.5
1993,11,72.6,50.1
1993,12,67.8,44.6
1994,1,69.5,44.1
1994,2,69.2,46.9
1994,3,76.6,53.3
1994,4,84.4,59.1
1994,5,91.3,65.3
1994,6,105.9,78.4
1994,7,105.8,81.9
1994,8,105.9,84.6
1994,9,98.6,75.1
1994,10,84.8,61.3
1994,11,68.9,47.1
1994,12,65,45.6
1995,1,63.1,45.8
1995,2,74.5,51.8
1995,3,75.9,52.7
1995,4,81,55.8
1995,5,88.1,64.4
1995,6,100,72.4
1995,7,107.3,81.7
1995,8,106.1,83.2
1995,9,100.3,78.1
1995,10,90.6,61.8
1995,11,78.6,54.6
1995,12,68.3,45.6
1996,1,68.6,43.1
1996,2,73,51.6
1996,3,77.4,52.7
1996,4,87.3,60.8
1996,5,96.3,69.7
1996,6,105.5,78.3
1996,7,106.2,84.2
1996,8,104.7,83.4
1996,9,94.5,74
1996,10,86.6,63.1
1996,11,76.5,52.5
1996,12,68.2,44.8
1997,1,64.9,46.5
1997,2,69,46.5
1997,3,83.1,55.7
1997,4,82.2,59.6
1997,5,98.8,73.7
1997,6,100.4,75
1997,7,106,81.6
1997,8,103.1,82.7
1997,9,100.4,79.6
1997,10,86.5,62.8
1997,11,75.6,52.6
1997,12,62.7,43.1
1998,1,66.7,46.5
1998,2,62.5,45.7
1998,3,72.9,50.9
1998,4,78.6,54.8
1998,5,88.5,63.9
1998,6,98.7,72
1998,7,105.8,83.2
1998,8,105.6,83.7
1998,9,99.2,76.5
1998,10,86.1,62.1
1998,11,74.8,50.6
1998,12,65.5,43.2
1999,1,69.4,44.2
1999,2,72.9,47.7
1999,3,77.3,52.5
1999,4,77.8,54
1999,5,92.3,67.3
1999,6,100.5,77.1
1999,7,101.6,80.9
1999,8,103.9,82.1
1999,9,98.8,75.9
1999,10,93,65.5
1999,11,81.9,54.1
1999,12,67.2,43.3
2000,1,70.1,46
2000,2,72.5,49.2
2000,3,73.7,52.5
2000,4,88.3,62.1
2000,5,98.1,71.5
2000,6,103,79
2000,7,106.5,83.5
2000,8,102.6,82.3
2000,9,101.7,78.8
2000,10,82.3,62.7
2000,11,67.4,46.3
2000,12,69.5,45.1
2001,1,63.7,44.4
2001,2,67.7,46
2001,3,77.5,53.7
2001,4,83.7,59.7
2001,5,100.4,73.4
2001,6,105.1,78.9
2001,7,104.9,83.9
2001,8,105.5,83.9
2001,9,104.6,79.7
2001,10,91.4,67.4
2001,11,78.8,57.9
2001,12,64.1,43.4
2002,1,67.1,44.8
2002,2,74.8,47.8
2002,3,78.1,52.3
2002,4,89.2,64.1
2002,5,95.2,68.2
2002,6,107.3,79.5
2002,7,107.2,84.8
2002,8,106.2,83.9
2002,9,101.4,78.2
2002,10,86.2,64
2002,11,78.5,55.3
2002,12,65,45.4
2003,1,74.6,49.3
2003,2,68.5,50.3
2003,3,76.2,53.3
2003,4,82.4,58.1
2003,5,95.9,70.7
2003,6,105,78.5
2003,7,108.7,86.6
2003,8,104.5,84.7
2003,9,102.2,79.2
2003,10,94.6,70.8
2003,11,72.1,51.6
2003,12,68.1,45.5
2004,1,67.6,47.4
2004,2,66.2,45.4
2004,3,85,59.5
2004,4,84.4,61
2004,5,96.5,70.2
2004,6,104.5,77.8
2004,7,106,83
2004,8,103.8,81.6
2004,9,99.9,76.3
2004,10,86.1,64.1
2004,11,70.5,51.4
2004,12,66.4,45.6
2005,1,66.5,49
2005,2,67,51.4
2005,3,74.1,53.7
2005,4,85,59.5
2005,5,95.1,70.3
2005,6,103.1,77.7
2005,7,109.5,85
2005,8,102.8,81.6
2005,9,101.5,77.7
2005,10,89.6,66.9
2005,11,78.4,54.1
2005,12,68.9,44.7
2006,1,70.4,45
2006,2,74.8,48.8
2006,3,72.6,52
2006,4,84.9,60.5
2006,5,97.9,71.4
2006,6,107.4,81.8
2006,7,106.6,86.4
2006,8,103,82.1
2006,9,96.6,74.7
2006,10,87.4,64.7
2006,11,79.6,54.6
2006,12,65.2,43.4
2007,1,63.6,42.2
2007,2,71.3,48.4
2007,3,81.6,55.8
2007,4,86.2,61.2
2007,5,97,72.2
2007,6,105.8,79.7
2007,7,106.8,84.8
2007,8,106.3,86.1
2007,9,101.2,79.5
2007,10,90.4,66
2007,11,81.8,58.3
2007,12,62.9,43.5
2008,1,64.3,45
2008,2,68.6,47.9
2008,3,79.5,53.8
2008,4,87.1,60.9
2008,5,90.7,66.3
2008,6,106.7,79.6
2008,7,105.7,84
2008,8,103.9,82
2008,9,100.9,78.8
2008,10,90.7,65
2008,11,78.8,55.5
2008,12,65.5,46.2
2009,1,70.5,46.9
2009,2,72.4,49
2009,3,79.6,55.3
2009,4,84.2,58.6
2009,5,98.5,73.8
2009,6,100,77.4
2009,7,109.5,87.1
2009,8,107.2,83.2
2009,9,101.7,78.3
2009,10,86.4,62.5
2009,11,80.2,54.7
2009,12,63.9,43.4
2010,1,67.7,47.1
2010,2,68.6,49.6
2010,3,73.6,51.9
2010,4,82.5,58.7
2010,5,91.3,65.2
2010,6,104.6,77.9
2010,7,106.6,86.9
2010,8,104.6,83.4
2010,9,104.1,78.9
2010,10,88.7,66.7
2010,11,74.7,51.3
2010,12,70.4,48.7
2011,1,67.8,43.5
2011,2,67.4,43
2011,3,80.8,54.9
2011,4,86.3,62.2
2011,5,91.5,66.1
2011,6,104.3,77.3
2011,7,106.9,83.5
2011,8,109,87.5
2011,9,103.3,79.5
2011,10,91.3,66.3
2011,11,74.1,52.8
2011,12,63,43.4
2012,1,70.9,46.5
2012,2,72.5,48.1
2012,3,79.2,52.5
2012,4,87.6,62.6
