Year,Month,MeanTMax,MeanTMin
2012,5,98.2,70.9
2012,6,106.5,81
2012,7,104.6,83.2
2012,8,105.8,84.9
2012,9,99.2,78.1
2012,10,91.3,66.4
2012,11,81.2,55.6
2012,12,66.8,46.6
2013,1,64.9,42.3
2013,2,68.3,46
2013,3,82.9,56.1
2013,4,88.4,62.3
2013,5,96,71.9
2013,6,108.4,81.2
2013,7,105.7,85.7
2013,8,105.3,84.1
2013,9,99.5,77.9
2013,10,87.1,61.9
2013,11,77.4,55.9
2013,12,67.6,45
2014,1,73.1,46.7
2014,2,76.8,52
2014,3,81.3,56.7
2014,4,87.4,62.3
2014,5,95.5,70.8
2014,6,106.2,80.1
2014,7,107.1,85.9
2014,8,102.3,80.8
2014,9,99.2,78.8
2014,10,91.8,68.2
2014,11,78.3,53.9
2014,12,67.2,48.3
2015,1,69.2,48
2015,2,77.5,53.8
2015,3,84.7,59.6
2015,4,86.8,61.7
2015,5,90.1,67.4
2015,6,105.9,82.1
2015,7,105.1,84.2
2015,8,107.7,85.6
2015,9,100.3,79.4
2015,10,90,68.8
2015,11,73.4,50.8
2015,12,65.4,43
2016,1,66.4,44.9
2016,2,79.9,51.6
2016,3,82.4,56.6
2016,4,85.4,61.6
2016,5,92,67.8
2016,6,107.4,82.1
2016,7,108.3,86
2016,8,102.9,80.9
2016,9,97.5,75.7
2016,10,93.4,68.6
2016,11,77.9,56.5
2016,12,68.4,47.4
2017,1,64.1,46.1
2017,2,72.2,51.6
2017,3,83.9,57.4
2017,4,88.6,61.9
2017,5,94.5,69.1
2017,6,107.9,81.4
2017,7,106.2,83.8
2017,8,105.4,82.6
2017,9,99.3,76.4
2017,10,93.8,67.1
2017,11,82.9,59.5
2017,12,71,47.3
2018,1,73.9,48.5
2018,2,71.1,48.4
2018,3,78.8,54.9
2018,4,90.6,64.3
2018,5,96.5,70.5
2018,6,105.4,79.3
2018,7,107.5,85.5
2018,8,105,83.1
2018,9,103.5,80.2
2018,10,83,64.5
2018,11,75.4,52.2
2018,12,66.5,45
2019,1,67,45
2019,2,63.6,44.6
2019,3,76.8,54.4
2019,4,87.9,62.7
2019,5,87.8,64.6
2019,6,104,78.1
2019,7,108.2,85.1
2019,8,108.2,85.4
2019,9,99.5,78.7
2019,10,88.7,62.8
2019,11,77.8,55.1
2019,12,65.3,46.9
